Incident Number,Date Reported,Date Occurred,Badge ID,Offense Classification,Offense Code Name,NIBRS Code,NIBRS Group,Was Offense Completed,LMPD Division,LMPD Beat,Location Category,Block Address,City,Zip Code,ObjectId
LMPD24000062,12/31/2023,12/31/2023,7415,9 AGGRAVATED ASSAULT,ASSAULT - 2ND DEGREE 508.020 13160 13A,13A,A,Yes,5th Division,512,Convenience Store,900 BLOCK BAXTER AVE,LOUISVILLE,40204,
LMPD24000515,12/31/2023,12/31/2023,5550,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,5th Division,512,Highway/ Road/ Alley/ Street/ Sidewalk,900 BLOCK BAXTER AVE,LOUISVILLE,40204,
LMPD24000111,12/31/2023,12/31/2023,5042,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,7th Division,724,Residence/Home,11200 BLOCK FOX HAVEN RD,LOUISVILLE,40229,
LMPD24000260,12/31/2023,12/31/2023,8584,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,Yes,7th Division,724,Parking/ Drop Lot/ Garage,11600 BLOCK SUMMIT CREST DR,LOUISVILLE,40229,
LMPD23129450,12/31/2023,12/31/2023,5239,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY 508.030 00797 13B,13B,A,Yes,7th Division,736,Residence/Home,1100 BLOCK CLAY AVE,LOUISVILLE,40219,
LMPD23129544,12/31/2023,12/27/2023,8499,19 THEFT FR BLDG,TBUT OR DISP FROM BUILDING 514.030 24160 23D,23D,A,Yes,4th Division,412,Residence/Home,500 BLOCK E BURNETT AVE,LOUISVILLE,40217,
LMPD24000052,12/31/2023,12/31/2023,5456,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,6th Division,612,Specialty Store,4500 BLOCK POPLAR LEVEL RD,LOUISVILLE,40213,
LMPD23129611,12/31/2023,12/31/2023,8584,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,Yes,5th Division,525,Convenience Store,3700 BLOCK LEXINGTON RD,LOUISVILLE,40207,
LMPD24000084,12/31/2023,12/31/2023,5413,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,999,B,Yes,4th Division,411,Residence/Home,200 BLOCK W OAK ST,LOUISVILLE,40203,
LMPD24000214,12/31/2023,12/31/2023,2098,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,3rd Division,334,Residence/Home,4700 BLOCK GRANADA DR,LOUISVILLE,40272,
LMPD23129602,12/31/2023,12/30/2023,5586,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,No,6th Division,612,Other Residence (Apartment/Condo),4300 BLOCK SHADY VILLA DR,LOUISVILLE,40219,
LMPD24000045,12/31/2023,12/31/2023,7106,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,999,B,Yes,7th Division,723,Other Residence (Apartment/Condo),7500 BLOCK FRONTGATE DR,LOUISVILLE,40228,
LMPD23129670,12/31/2023,12/27/2023,5495,23 THEFT OTHER,"TBUT OR DISP CONTROLLED SUB < $10,000 514.030 23913 23H",23H,A,Yes,5th Division,521,Other Residence (Apartment/Condo),700 BLOCK N HITE AVE,LOUISVILLE,40206,
LMPD23129701,12/31/2023,12/31/2023,5427,13 BURGLARY,BURGLARY - 1ST DEGREE 511.020 22060 220,220,A,Yes,3rd Division,316,Residence/Home,11600 BLOCK DEERING RD,LOUISVILLE,40272,
LMPD24000046,12/31/2023,12/31/2023,5427,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,3rd Division,315,Residence/Home,100 BLOCK MINETTE CIR,LOUISVILLE,40258,
LMPD24000072,12/31/2023,12/31/2023,5239,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,6th Division,612,Residence/Home,5500 BLOCK INDIAN OAKS CIR,LOUISVILLE,40219,
LMPD23129478,12/31/2023,12/30/2023,8499,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,6th Division,624,Parking/ Drop Lot/ Garage,4500 BLOCK S HURSTBOURNE PKY,LOUISVILLE,40299,
LMPD23129505,12/31/2023,12/31/2023,5131,34 NARCOTICS,POSS OF MARIJUANA 218A.1422 42330 35A,35A,A,Yes,4th Division,423,Highway/ Road/ Alley/ Street/ Sidewalk,DENMARK ST / CLIFF AVE,LOUISVILLE,40214,
LMPD24003046,12/31/2023,12/31/2023,7633,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,8th Division,824,Residence/Home,10700 BLOCK WARD AVE,LOUISVILLE,40243,
LMPD24000183,12/31/2023,12/31/2023,2569,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,2nd Division,234,Residence/Home,1500 BLOCK S 32ND ST,LOUISVILLE,40211,
LMPD24000193,12/31/2023,12/31/2023,5372,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,4th Division,423,Residence/Home,2400 BLOCK NICHOLS VIEW CT,LOUISVILLE,40215,
LMPD24900032,12/31/2023,12/31/2023,8185,56 ALL OTHER OFFENSES,ANY NON CRIMINAL CHARGE NOT COVERED BY THESE CODES ***.*** 03013 90Z,90Z,B,Yes,1st Division,123,Other/Unknown,0 BLOCK W MAIN ST,LOUISVILLE,40202,
LMPD24000098,12/31/2023,12/31/2023,5141,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,7th Division,723,Parking/ Drop Lot/ Garage,6600 BLOCK OUTER LOOP,LOUISVILLE,40228,
LMPD24000028,12/31/2023,12/31/2023,7106,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,Yes,7th Division,723,Residence/Home,8600 BLOCK MCKENNA WAY,LOUISVILLE,40291 0000,
LMPD24000539,12/31/2023,12/31/2023,8173,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,Yes,1st Division,135,Other Residence (Apartment/Condo),400 BLOCK E MUHAMMAD ALI BLVD,LOUISVILLE,40202,
LMPD24000014,12/31/2023,12/31/2023,5386,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,2nd Division,234,Residence/Home,1800 BLOCK MAE STREET KIDD CT,LOUISVILLE,40211,
LMPD24000045,12/31/2023,12/31/2023,7106,13 BURGLARY,BURGLARY - 1ST DEGREE 511.020 22060 220,220,A,Yes,7th Division,723,Other Residence (Apartment/Condo),7500 BLOCK FRONTGATE DR,LOUISVILLE,40228,
LMPD23129683,12/31/2023,12/31/2023,5508,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,Yes,2nd Division,223,Residence/Home,800 BLOCK S 31ST ST,LOUISVILLE,40211,
LMPD23129690,12/31/2023,12/31/2023,8584,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,Yes,4th Division,411,Parking/ Drop Lot/ Garage,500 BLOCK W ST CATHERINE ST,LOUISVILLE,40203,
LMPD23129536,12/31/2023,12/31/2023,7232,50 DRUNK DRIVING,OPER MTR VEH UNDER INFL ALC .08 (189A010(1E) - 1ST 189A.010(5A) 03126 90D,90D,B,No,3rd Division,323,Parking/ Drop Lot/ Garage,100 BLOCK OUTER LOOP,LOUISVILLE,40214,
LMPD23129655,12/31/2023,12/31/2023,5311,8 ROBBERY,ROBBERY - 1ST DEGREE 515.020 12002 120,120,A,Yes,1st Division,112,Highway/ Road/ Alley/ Street/ Sidewalk,2100 BLOCK W BROADWAY,LOUISVILLE,40211,
LMPD23129463,12/31/2023,12/31/2023,5518,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,999,B,No,1st Division,112,Residence/Home,500 BLOCK S 18TH ST,LOUISVILLE,40203,
LMPD23129625,12/31/2023,12/31/2023,5591,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,3rd Division,315,Residence/Home,5500 BLOCK W PAGES LN,LOUISVILLE,40258,
LMPD23129623,12/31/2023,12/31/2023,7441,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,Yes,7th Division,723,Residence/Home,5500 BLOCK HAMES TRCE,LOUISVILLE,40291,
LMPD23129710,12/31/2023,12/31/2023,5170,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,1st Division,123,Hotel/ Motel/ Etc.,500 BLOCK S 4TH ST,LOUISVILLE,40202,
LMPD24000265,12/31/2023,12/31/2023,5407,19 THEFT FR BLDG,TBUT OR DISP FROM BUILDING 514.030 24160 23D,23D,A,Yes,1st Division,123,Hotel/ Motel/ Etc.,100 BLOCK N 4TH ST,LOUISVILLE,40202,
LMPD24002601,12/31/2023,12/31/2023,7433,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY 508.030 00797 13B,13B,A,Yes,6th Division,612,Residence/Home,3200 BLOCK TWIN OAK LN,LOUISVILLE,40219,
LMPD23129549,12/31/2023,12/30/2023,5131,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,Yes,4th Division,423,Residence/Home,1100 BLOCK CENTRAL AVE,LOUISVILLE,40208,
LMPD23129633,12/31/2023,12/31/2023,5574,12 INTIMIDATION,MENACING 508.050 00803 13C,13C,A,Yes,4th Division,423,Other Residence (Apartment/Condo),3500 BLOCK GEORGETOWN PL,LOUISVILLE,40215,
LMPD24000023,12/31/2023,12/31/2023,5400,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,4th Division,423,Residence/Home,1200 BLOCK WELLER AVE,LOUISVILLE,40208,
LMPD23129536,12/31/2023,12/31/2023,7232,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,3rd Division,323,Parking/ Drop Lot/ Garage,100 BLOCK OUTER LOOP,LOUISVILLE,40214,
LMPD23129612,12/31/2023,12/31/2023,2013,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,8th Division,823,Residence/Home,13600 BLOCK ARAGON WAY,LOUISVILLE,40245,
LMPD24000187,12/31/2023,12/31/2023,5584,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,5th Division,512,Residence/Home,1200 BLOCK EVERETT AVE,LOUISVILLE,40204,
LMPD23129699,12/31/2023,12/31/2023,5516,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,4th Division,436,Highway/ Road/ Alley/ Street/ Sidewalk,0 BLOCK COLONIAL OAKS CT,LOUISVILLE,40214,
LMPD24000061,12/31/2023,12/31/2023,7246,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,7th Division,712,Residence/Home,9800 BLOCK INDEPENDENCE SCHOOL RD,LOUISVILLE,40291,
LMPD24000139,12/31/2023,12/31/2023,7823,24 VANDALISM,CRIMINAL MISCHIEF - RESIDENTIAL RENTAL PROPERTY 3RD 512.020 01420 290,290,A,Yes,1st Division,135,Other Residence (Apartment/Condo),800 BLOCK E MADISON ST,LOUISVILLE,40204,
LMPD24000045,12/31/2023,12/31/2023,7106,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,7th Division,723,Other Residence (Apartment/Condo),7500 BLOCK FRONTGATE DR,LOUISVILLE,40228,
LMPD23129573,12/31/2023,12/31/2023,5408,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,1st Division,111,Residence/Home,2400 BLOCK GRIFFITHS AVE,LOUISVILLE,40212,
LMPD23129606,12/31/2023,12/30/2023,8566,23 LARCENY,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097 23H",23H,A,Yes,6th Division,612,Other/Unknown,900 BLOCK W INDIAN TRL,LOUISVILLE,40213,
LMPD23129661,12/31/2023,12/31/2023,5448,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,Yes,1st Division,111,Residence/Home,2100 BLOCK LYTLE ST,LOUISVILLE,40212,
LMPD23129482,12/31/2023,12/31/2023,5131,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,Yes,4th Division,423,Residence/Home,3200 BLOCK UTAH AVE,LOUISVILLE,40215,
LMPD24000080,12/31/2023,12/31/2023,5472,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,1st Division,135,Other Residence (Apartment/Condo),100 BLOCK E JEFFERSON ST,LOUISVILLE,40202,
LMPD23129714,12/31/2023,12/31/2023,5259,9 AGGRAVATED ASSAULT,STRANGULATION 1ST DEGREE 508.170 13225 13A,13A,A,Yes,8th Division,811,Other Residence (Apartment/Condo),11100 BLOCK INDIAN LEGENDS DR,LOUISVILLE,40241,
LMPD24000085,12/31/2023,12/31/2023,5489,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,4th Division,411,Other Residence (Apartment/Condo),1100 BLOCK S 4TH ST,LOUISVILLE,40203,
LMPD24001006,12/31/2023,12/31/2023,5131,51 DISORDERLY CONDUCT,DISORDERLY CONDUCT - 2ND DEGREE 525.060 02371 90C,90C,B,No,4th Division,411,Residence/Home,1300 BLOCK S 3RD ST,LOUISVILLE,40208,
LMPD24000085,12/31/2023,12/31/2023,5489,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,999,B,Yes,4th Division,411,Other Residence (Apartment/Condo),1100 BLOCK S 4TH ST,LOUISVILLE,40203,
LMPD24000305,12/31/2023,12/31/2023,5513,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,6th Division,624,Residence/Home,4000 BLOCK HURSTBOURNE WOODS DR,LOUISVILLE,40299,
LMPD23129656,12/31/2023,12/31/2023,5498,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,2nd Division,211,Residence/Home,3300 BLOCK W MARKET ST,LOUISVILLE,40212,
LMPD24000089,12/31/2023,12/31/2023,5351,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,Yes,1st Division,123,Other Residence (Apartment/Condo),1000 BLOCK W LIBERTY ST,LOUISVILLE,40203,
LMPD24000050,12/31/2023,12/31/2023,5565,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,2nd Division,211,Residence/Home,3800 BLOCK MIAMI AVE,LOUISVILLE,40212,
LMPD23129648,12/31/2023,12/31/2023,5469,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,Yes,1st Division,123,Commercial/Office Building,700 BLOCK W MAIN ST,LOUISVILLE,40202,
LMPD23129688,12/31/2023,12/31/2023,5500,9 AGGRAVATED ASSAULT,STRANGULATION 1ST DEGREE 508.170 13225 13A,13A,A,Yes,2nd Division,211,Residence/Home,200 BLOCK S 42ND ST,LOUISVILLE,40212,
LMPD23129688,12/31/2023,12/31/2023,5500,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,999,B,Yes,2nd Division,211,Other Residence (Apartment/Condo),200 BLOCK S 42ND ST,LOUISVILLE,40212,
LMPD23129607,12/31/2023,12/31/2023,5129,34 NARCOTICS,TRAF IN CONT SUB-1ST OFFENSE 218A.1404(1) 42015 35A,999,B,Yes,2nd Division,211,Convenience Store,3300 BLOCK W MARKET ST,LOUISVILLE,40212,
LMPD24000087,12/31/2023,12/31/2023,5460,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY 508.030 00797 13B,13B,A,Yes,3rd Division,331,Other Residence (Apartment/Condo),5300 BLOCK MILNER RD,LOUISVILLE,40216,
LMPD23129511,12/31/2023,12/31/2023,5560,56 ALL OTHER OFFENSES,ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE 506.120 70240 90Z,90Z,B,Yes,7th Division,735,Parking/ Drop Lot/ Garage,NULL,LOUISVILLE,40219,
LMPD23129487,12/31/2023,12/31/2023,5308,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,2nd Division,211,Residence/Home,100 BLOCK N 34TH ST,LOUISVILLE,40212,
LMPD24900093,12/31/2023,12/31/2023,8185,22 THEFT MV PARTS,"TBUT PARTS FROM VEHICLE $1,000,000 < $10,000,000 514.030 24244 23G",23G,A,Yes,6th Division,624,Parking/ Drop Lot/ Garage,4100 BLOCK BARDSTOWN RD,LOUISVILLE,40218,
LMPD23129615,12/31/2023,12/31/2023,5592,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY) 508.030 00795 13B,13B,A,Yes,4th Division,424,Residence/Home,300 BLOCK W WHITNEY AVE,LOUISVILLE,40214,
LMPD24900036,12/31/2023,12/31/2023,8185,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,Yes,1st Division,111,Parking/ Drop Lot/ Garage,200 BLOCK N 20TH ST,LOUISVILLE,40203,
LMPD23129521,12/31/2023,12/31/2023,8499,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,Yes,8th Division,823,Parking/ Drop Lot/ Garage,1600 BLOCK FLAT ROCK RD,LOUISVILLE,40245,
LMPD23129472,12/31/2023,12/31/2023,5561,9 AGGRAVATED ASSAULT,WANTON ENDANGERMENT-1ST DEGREE 508.060 13201 13A,13A,A,Yes,7th Division,736,Other Residence (Apartment/Condo),1100 BLOCK CLAY AVE,LOUISVILLE,40219,
LMPD23129642,12/31/2023,12/31/2023,5250,51 DISORDERLY CONDUCT,DISORDERLY CONDUCT - 2ND DEGREE 525.060 02371 90C,90C,B,No,1st Division,135,Shelter - Mission/ Homeless,400 BLOCK E JEFFERSON ST,LOUISVILLE,40202,
LMPD23129647,12/31/2023,12/31/2023,5460,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,3rd Division,331,Residence/Home,1800 BLOCK LEWISTON DR,LOUISVILLE,40216,
LMPD23129615,12/31/2023,12/31/2023,5592,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,4th Division,424,Residence/Home,300 BLOCK W WHITNEY AVE,LOUISVILLE,40214,
LMPD24000027,12/31/2023,12/31/2023,5599,11 SIMPLE ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY 525.070 02407 13B,13B,A,Yes,3rd Division,334,Residence/Home,9600 BLOCK LAMBORNE BLVD,LOUISVILLE,40272,
LMPD24000089,12/31/2023,12/31/2023,5351,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,1st Division,123,Other Residence (Apartment/Condo),1000 BLOCK W LIBERTY ST,LOUISVILLE,40203,
LMPD23129661,12/31/2023,12/31/2023,5448,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,Yes,1st Division,111,Residence/Home,2100 BLOCK LYTLE ST,LOUISVILLE,40212,
LMPD23129616,12/31/2023,12/31/2023,5574,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,4th Division,423,Other Residence (Apartment/Condo),3600 BLOCK GEORGETOWN PL,LOUISVILLE,40215,
LMPD23129594,12/31/2023,12/31/2023,8584,18 SHOPLIFTING,"TBUT OR DISP SHOPLIFTING $500 < $1,000 514.030 24231 23C",23C,A,Yes,8th Division,812,Department/Discount Store,4100 BLOCK TOWNE CENTER DR,LOUISVILLE,40241,
LMPD24000049,12/31/2023,12/31/2023,5472,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,Yes,1st Division,123,Hotel/ Motel/ Etc.,500 BLOCK S 4TH ST,LOUISVILLE,40202,
LMPD24900024,12/31/2023,12/31/2023,8185,99 NON-REPORTABLE,LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC189.580(1)(a) 00569 999,999,B,Yes,4th Division,411,Residence/Home,1200 BLOCK S BROOK ST,LOUISVILLE,40203,
LMPD24000070,12/31/2023,12/31/2023,5599,9 AGGRAVATED ASSAULT,WANTON ENDANGERMENT-1ST DEGREE 508.060 13201 13A,13A,A,Yes,3rd Division,331,Residence/Home,1700 BLOCK BRICK KILN LN,LOUISVILLE,40216,
LMPD24000673,12/31/2023,12/31/2023,5282,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,2nd Division,211,Other Residence (Apartment/Condo),200 BLOCK CECIL AVE,LOUISVILLE,40212,
LMPD24000085,12/31/2023,12/31/2023,5489,10 KIDNAPPING ONLY,UNLAWFUL IMPRISONMENT-2ND DEGREE 509.030 02606 100,100,A,Yes,4th Division,411,Other Residence (Apartment/Condo),1100 BLOCK S 4TH ST,LOUISVILLE,40203,
LMPD24900028,12/31/2023,12/31/2023,8185,22 THEFT MV PARTS,"TBUT PARTS FROM VEHICLE $500 < $1,000 514.030 24241 23G",23G,A,Yes,4th Division,424,Gambling Facility/ Casino/ Race Track,700 BLOCK CENTRAL AVE,LOUISVILLE,40208,
LMPD23129511,12/31/2023,12/31/2023,5560,23 LARCENY,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097 23H",23H,A,Yes,7th Division,735,Department/Discount Store,4900 BLOCK OUTER LOOP,LOUISVILLE,40219,
LMPD23129703,12/31/2023,12/31/2023,5470,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,4th Division,423,Residence/Home,900 BLOCK CAMDEN AVE,LOUISVILLE,40215,
LMPD23129511,12/31/2023,12/31/2023,5560,34 NARCOTICS,POSS OF MARIJUANA 218A.1422 42330 35A,35A,A,Yes,7th Division,735,Parking/ Drop Lot/ Garage,NULL,LOUISVILLE,40219,
LMPD24000075,12/31/2023,12/31/2023,8402,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,Yes,2nd Division,211,Residence/Home,600 BLOCK CECIL AVE,LOUISVILLE,40211,
LMPD24002332,12/31/2023,12/31/2023,5282,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,Yes,2nd Division,211,Other Residence (Apartment/Condo),200 BLOCK S 42ND ST,LOUISVILLE,40212,
LMPD24000025,12/31/2023,12/31/2023,8402,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,1st Division,123,Highway/ Road/ Alley/ Street/ Sidewalk,1000 BLOCK FISK ST,LOUISVILLE,40203,
LMPD24000166,12/31/2023,12/31/2023,5240,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,Yes,2nd Division,236,Residence/Home,4100 BLOCK DOVER RD,LOUISVILLE,40216,
LMPD24000346,12/31/2023,12/31/2023,8402,23 THEFT OTHER,"TBUT OR DISP ALL OTHERS $500 < $1,000 514.030 24096 23H",23H,A,Yes,3rd Division,334,Residence/Home,8400 BLOCK 3RD STREET RD,LOUISVILLE,40272,
LMPD23129659,12/31/2023,12/31/2023,5518,9 AGGRAVATED ASSAULT,WANTON ENDANGERMENT-1ST DEGREE 508.060 13201 13A,13A,A,Yes,1st Division,111,Residence/Home,2400 BLOCK W MARKET ST,LOUISVILLE,40212,
LMPD23129599,12/31/2023,12/31/2023,5148,34 NARCOTICS,POSS OF MARIJUANA 218A.1422 42330 35A,35A,A,Yes,4th Division,424,Arena/Stadium/Fairgrounds/Coliseum,900 BLOCK PHILLIPS LN,LOUISVILLE,40209,
LMPD24000675,12/31/2023,12/31/2023,7232,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,3rd Division,323,Residence/Home,1600 BLOCK GLENGARRY DR,LOUISVILLE,40118,
LMPD23129604,12/31/2023,12/31/2023,8515,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,Yes,6th Division,625,Specialty Store,2200 BLOCK HIKES LN,LOUISVILLE,40218,
LMPD23129705,12/31/2023,12/31/2023,5489,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,4th Division,411,Residence/Home,200 BLOCK W OAK ST,LOUISVILLE,40203,
LMPD24000040,12/31/2023,12/31/2023,5378,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,No,4th Division,435,Residence/Home,4000 BLOCK PARTHENIA AVE,LOUISVILLE,40215,
LMPD24000069,12/31/2023,12/31/2023,5478,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,Yes,4th Division,424,Hotel/ Motel/ Etc.,800 BLOCK PHILLIPS LN,LOUISVILLE,40209,
LMPD23129596,12/31/2023,12/31/2023,5437,46 FAMILY OFFENSES,VIOLATION OF KENTUCKY EPO/DVO 403.763 02763 90F,90F,B,No,2nd Division,225,Residence/Home,1700 BLOCK W HILL ST,LOUISVILLE,40210,
LMPD23129615,12/31/2023,12/31/2023,5592,10 KIDNAPPING ONLY,UNLAWFUL IMPRISONMENT-2ND DEGREE 509.030 02606 100,100,A,Yes,4th Division,424,Residence/Home,300 BLOCK W WHITNEY AVE,LOUISVILLE,40214,
LMPD23129468,12/31/2023,12/31/2023,5499,23 LARCENY,TBUT OR DISP ALL OTHERS 514.030 24095 23H,23H,A,Yes,2nd Division,223,Other Residence (Apartment/Condo),2700 BLOCK DUMESNIL ST,LOUISVILLE,40211,
LMPD23129699,12/31/2023,12/31/2023,5516,11 SIMPLE ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY 525.070 02407 13B,13B,A,Yes,4th Division,436,Highway/ Road/ Alley/ Street/ Sidewalk,0 BLOCK COLONIAL OAKS CT,LOUISVILLE,40214,
